i_move_id,i_id_pers,i_id_session,dt_start_utc,dt_end_utc,i_pid_start,i_pid_end,i_duration_secs,i_distance_m,r_speed_ms,geom_2154
21,8,0,2019-07-09 14:25:45+02,2019-07-09 14:33:20+02,23510,23601,455,2408,5.29,01020000206A080000150000007CA613EE2F022C41D57B0B11DAA2584138E7E10D07022C4134576C0BDBA25841564E99C2D9012C41724BD64ED6A258417B608069B9012C412E4391C4D6A258410DD60D6AB1012C413F151DFEDAA258418ACD69A990012C413B68C8F5DBA25841CE0C46F6EE002C41A8FE9B97D7A25841237C4CA840002C413DD4FA21D6A25841CB1E488659FF2B41EBE42F5CD8A25841E9AC8F29F3FE2B41AEA4B2E4DBA25841F5094A6FF8FA2B4112079240BCA258419427D4D7A3FA2B410DC7C3ECA2A25841B894E4D4AEFA2B412E987EDE95A25841CA44F29CE2FA2B41E0C71A5D93A25841F4E8E132D4FA2B418AC950F78AA2584198E9D307A6FA2B41C619CFE680A25841073EAC2262FA2B41A5AB452480A25841A59AA64A46F62B419F5FF50DA6A258413EC9779330F52B412A49B3E1ABA25841D7103D7CFEF32B415C2B7853ADA258415EC3EB8FAEF12B4130E6AA9CB4A25841
22,8,0,2019-07-09 14:34:45+02,2019-07-09 14:42:35+02,23618,23712,470,2138,4.55,01020000206A0800000F000000502C605E76F12B41B780C01BB5A2584126805F262BF12B41524C687EB1A25841102D44AB45F02B4139BEFD5095A25841E9B6BB2500F02B41B08F42568BA2584133A27C4AB7EF2B419A15719079A25841F5BF10771FEE2B419039FB3F4BA258414C9C5B2B7BEA2B41BC3CC27202A258411E5CE061D4E92B412231913E00A2584180CEC0D35BE92B417508C65002A25841225EA9A43FE92B418A5A830E11A2584103FA37DE0AE72B41F5A3BBDF12A25841FB391CE82DE52B41513EAD85EFA158414429ADCE05E42B41F391B274E3A15841E5706E15B9E32B41E1F35062E2A15841C2F0E1E5BEE32B41DE5C6B74DDA15841
23,8,0,2019-07-09 14:42:50+02,2019-07-09 14:50:35+02,23715,23807,465,1104,2.37,01020000206A08000015000000962799C8BBE32B4177084659DDA1584158980E6B83E32B415AEBD0C0D8A158411025AF5F66E32B415BD0B852DEA15841F0378D6153E32B41A1E8FECBDEA15841E20A24129CE22B4108ADB0390AA2584194B2A6CD25E22B41AC0BF3F52AA25841AC28D9AE8FE12B415F9710C72FA25841F9EA6FC74DE12B411F83C5872CA25841966CCD35ECE02B41E3D67D042CA258414F73A10450E02B41925D59C335A25841E0D0D6DB41E02B411ADA5CAA38A2584130936F1756E02B41C2436B5B4DA25841F6C17BC24AE02B411247CEB75EA258417C0B86876EDF2B4147F9FA905CA258413973CC8C5FDF2B41A9A6A26663A25841D6BE30EE3CDF2B41F7088F9A62A2584160BD645B3FDF2B411D40053565A258410CB152E177DF2B418190973E55A25841C515BA268BDF2B417EDDCDC053A2584103572D37A9DF2B4126129EDF55A25841B2C0C69690DF2B4116EA20EF54A25841
24,8,0,2019-07-09 15:18:30+02,2019-07-09 15:27:55+02,23865,23978,565,700,1.24,01020000206A0800001100000020A69A869ADF2B419D6D217C4BA2584147B06E5D9BDF2B41BA9A9BFF50A25841802CB398CCDF2B4130625F334EA25841B22D9F29F1DF2B415802ED964EA25841D61C8E494FE02B41C16EC9CA57A25841CE831B3D60E02B410DF3C7D15CA25841F4773BED7AE02B41E0F22ED55EA25841B2DBAF33D7E02B4192C3F2945EA25841F562FF94F7E02B4110C2E6D960A25841D22868FC87E12B415BD6EFCB5CA25841B78CB3D0A0E12B4168650C3359A25841D664D611D7E12B41A849013D56A25841490A83E58CE22B41E386792B55A25841AEC8E85CAFE22B4120F8B28556A25841430B3DF117E32B4178A632BE60A2584128666AACCCE32B411481F1417DA2584139232171E0E32B41FC346D7483A25841
25,8,0,2019-07-09 15:28:20+02,2019-07-09 15:34:45+02,23983,24060,385,380,0.99,01020000206A08000009000000C87EBB99E3E32B41A345215984A25841C06E8880DEE32B41D00E0BE482A2584177D9F686EFE32B41A8B50FD883A2584112DA1E06DEE32B4131000BE17FA25841D4C1842325E42B412E680DE176A25841BF2A284A55E42B412258680765A25841A2367330ECE32B41087F166587A25841DA5F4434C4E32B4175AA6F0288A25841F50DA1AA6CE32B4182010E9880A25841
26,8,0,2019-07-09 16:14:44+02,2019-07-10 04:56:00+02,24492,24516,45676,721,0.02,01020000206A080000030000000CCE4D50C1E32B4171821B2586A258418EF9DCBA50E22B41FB00A00A19A25841300451C13BE32B41422A04C5E2A15841
27,8,0,2019-07-10 04:57:55+02,2019-07-10 04:59:05+02,24539,24553,70,230,3.29,01020000206A080000040000001AFA6EC44BE32B41C7775329D9A158411A8FCE1A5FE32B41B3C76370D7A15841C6C5D4D3D3E32B4158B6ACF4B0A1584160F56B1B3DE42B41B3C4F5FBB2A15841
28,8,0,2019-07-10 06:08:43+02,2019-07-10 06:13:33+02,25048,25106,290,1057,3.64,01020000206A0800001900000074F1F15586E42B410DCB6870B3A1584146D396DC84E42B41C676E222B2A158417154FA9284E42B412ED24320B4A158412EF0E39602E42B41D1406F6FB1A15841A9CC09EEF0E32B41C82775B8B3A1584121F71FED95E32B4176FB7EA5CEA15841A697067F87E32B41DFF90E03DCA158410E5F1CC85CE32B41442426DBDFA1584177F6D3981BE32B410A12C1EDEDA158416B54EFAAA4E22B414C17B51810A258417B842AE647E22B41047A904322A258415CD2E90B33E22B4138A858FB32A25841A820FE5A24E22B41041CB8422FA2584166A8BF6B07E22B41DBE00CCB2DA25841A8603BB3E5E12B41E77F39952CA258413CBF04D2B9E12B41F8D0B1032EA25841ACA639AA36E12B41A42813B640A25841C3B9C1C204E12B411152DD4A3FA258415AC332F3D0E02B41736DA8F041A258412C1C82B29FE02B41AF53A2F541A258410618B4B26CE02B41740D9E6A46A25841AC9DF61F2BE02B4170808F1140A2584162C47B6C09E02B41E02A03BD3FA258417D9C5E52DBDF2B415C31824A48A2584131ED6F2CB8DF2B41D3C4BF5C4AA25841
29,8,0,2019-07-10 08:44:24+02,2019-07-10 08:44:34+02,25628,25630,10,9,0.9,01020000206A080000020000001F88EF9E2BDF2B4188A759F149A258411A8152A93DDF2B41CF5412114AA25841
30,8,1,2019-07-10 09:34:05+02,2019-07-10 09:38:15+02,25638,25688,250,584,2.34,01020000206A08000014000000E210B75F90E22B4184DD38364FA2584114C84B7B9DE22B41C752F81251A25841441685C795E22B418F08245B53A25841443CBB5D74E22B41B48823D554A258413CA3531B42E22B41234F594D5CA25841A7F74FE5E9E12B410FA39A295AA2584168EA8DC9DBE12B41762D3CC75EA25841D1A3705FB9E12B4113EFA60961A25841063E9A92A6E12B413CE45DEB5EA25841D58CB57BA9E12B410D77EDA961A258410E355DEA83E12B41D3F8BE2860A258416B24689C5BE12B41B53624EE61A2584162F0E03F5CE12B413785276A63A2584172BD53C9ECE02B416C922ACE65A2584127BE4C6EC8E02B419FC53EB463A258416004C38C9CE02B41BD9DC98A5DA2584180DD22BF51E02B41EB10A3205DA258413E03095E36E02B41B05E724764A25841E766E68A70DF2B41756C379F61A258412237D79246DF2B4110E2FFC04FA25841
